url,score,lcp,tti,speedIndex,minimizeMainThreadWork,eliminateRenderBlockingResources,minimizeThirdPartyResourcesMs,minimizeThirdPartyResourcesBytes,efficientlyEncodeImages,serveNextGenImages,properlySizeImages,reduceUnusedCSS,minifyCSS,reduceUnusedJS,minifyJavaScript,enormousNetworkPayloads,greenHosting,CO2WithGreenHosting,CO2WithoutGreenHosting,server,frameworks,libraries,externalServices,cachingTechnologies,securityPractices,performanceOptimizations,backendTechnology
http://www.aeschreder.at,46,6108,6509,7106,2674,198,79,289987,0,0,0,560,0,375,95,24329196,0,9657,9600,nginx,-,-,XMLHttpRequest API,"Varnish, Cache MISS","x-content-type-options, x-frame-options",-,Drupal
http://www.wabag.com,46,62815,18563,20518,5253,8008,145,376832,33330,54310,5685,2575,740,6560,705,17960978,0,7130,7130,Apache,-,"Bootstrap, jQuery",Generic API Endpoint,,"x-content-type-options, x-frame-options, x-xss-protection",-,WordPress
http://www.messe.at,46,28836,33205,24428,6099,2945,24,4502024,19305,25185,25350,4635,165,3805,2655,13367056,1,4591,5263,Apache,-,"Bootstrap, jQuery",-,"Unknown via header configuration, Cache MISS","x-content-type-options, x-frame-options, content-security-policy",-,Drupal
http://www.sparkys.at/,46,13465,33398,13080,3907,1389,782,10526085,3447,20404,272,3733,0,15888,0,10545465,1,3621,4188,ESF,-,-,-,-,"x-content-type-options, x-frame-options, x-xss-protection, content-security-policy",-,-
http://www.restaurant-amador.com,46,10091,13771,8465,5732,152,630,1188483,8310,12955,0,780,0,6355,0,7547941,1,2592,2996,nginx,WPBakery,"Bootstrap, jQuery",-,-,-,-,WordPress
http://www.dllgroup.com,46,28365,25778,16085,2382,2709,261,565463,8435,14935,2460,2110,0,6675,0,6932861,0,2752,2756,-,-,-,-,-,"strict-transport-security, x-content-type-options, x-frame-options, x-xss-protection, content-security-policy",-,-
http://www.media-productions.at,46,27773,21274,19874,2112,11214,0,1040,0,4950,150,8175,150,3150,0,6557873,1,2252,2603,Apache,WordPress,jQuery,-,-,-,-,WordPress
http://www.triburuzek.at,46,17010,16606,18441,5864,2576,0,1052,6005,12690,300,2255,0,675,0,5331965,0,2116,2116,Apache,WordPress,jQuery,XMLHttpRequest API,,-,-,WordPress
http://www.dr-strasser.at,46,18414,18032,11784,2712,5918,64,305230,3730,6300,250,5885,0,3235,0,4797378,1,1647,1904,Apache,WordPress,jQuery,-,-,-,-,WordPress
http://www.burggasser.at,46,18520,19055,11466,3984,1238,292,2700893,0,230,460,1510,0,3770,0,4527135,0,1797,1797,Apache,WordPress,jQuery,Generic API Endpoint,,-,-,WordPress
http://www.fenstertech.at,46,20460,13090,9018,1712,4294,-1,-1,5445,10740,530,4540,0,1360,0,4389053,1,1507,1742,Apache,WordPress,jQuery,-,-,-,-,WordPress
http://www.dreberhardt.com,46,17810,21575,11178,2760,2596,311,638099,0,490,10,2730,0,6845,0,4003033,1,1374,1587,Apache,-,-,Generic API Endpoint,,"strict-transport-security, x-content-type-options, x-frame-options",-,-
http://www.space-architects.at,46,10388,16849,14878,2976,6049,23,148388,0,2800,1045,5275,320,1765,160,3944149,1,1354,1567,Apache,WordPress,"Bootstrap, jQuery",-,-,-,-,WordPress
http://www.time-busters.at,46,6471,16178,10234,3140,1937,449,1220753,725,4153,4363,647,0,4565,0,3780761,1,1298,1491,Apache,WPML,jQuery,-,-,-,-,WordPress
http://www.lapantera.at,46,15077,22733,17089,4997,3456,270,930474,1530,4130,155,835,0,4265,0,3697540,1,1270,1467,Apache,WordPress,"React, jQuery",-,-,strict-transport-security,-,WordPress
http://www.akademikerhilfe.at,46,9995,15352,8288,3276,540,608,2546749,0,675,0,600,0,5470,0,3426974,1,1176,1375,-,-,Vue.js,-,-,"strict-transport-security, x-content-type-options, x-frame-options, x-xss-protection, content-security-policy",-,Drupal
http://www.schubert.at/,46,10504,1735,5077,572,234,-1,-1,13500,14254,0,0,0,300,0,3338940,0,1325,1325,nginx,-,jQuery,-,-,-,-,-
http://www.u4.at,46,10977,6922,5288,1859,803,0,78944,960,4875,240,500,0,260,160,2653120,0,1052,996,nginx,WordPress,jQuery,Generic API Endpoint,,-,-,WordPress
http://www.brandshopi.com,46,12557,11042,15553,4102,723,0,148596,0,0,995,815,0,1540,0,2462493,1,845,976,Apache,-,-,-,-,-,Server-Timing: jpresta_cache;desc=1,-
http://www.ef.com,46,11319,16872,6429,2836,0,605,956821,0,0,20,0,0,2170,0,2274981,1,781,903,cloudflare,Gatsby,-,Cloudflare,,strict-transport-security,-,-
http://www.gdels.com,46,7111,5360,3886,975,2407,43,208423,2485,3255,1150,665,285,420,95,2263817,0,898,1087,"nginx, PleskLin",-,jQuery,-,-,"strict-transport-security, x-content-type-options, x-frame-options, x-xss-protection, content-security-policy",-,-
